PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.6666666666666666	True	Located in	Located in	0.6666666666666666	greening disease, HLB, huanglongbing	greening disease (huanglongbing/HLB)	1.0	SP, São Paulo	São Paulo
Partial Match	0.3333333333333333	True	Affects	Affects	0.6666666666666666	greening disease, HLB, huanglongbing	greening disease (huanglongbing/HLB)	0.5	citrus	citrus belt
Partial Match	0.6666666666666666	True	Affects	Affects	0.6666666666666666	greening disease, HLB, huanglongbing	greening disease (huanglongbing/HLB)	1.0	orange groves	orange groves
Partial Match	0.25	True	Causes	Causes	0.75	Candidatus Liberibacter spp.	bacterium Candidatus Liberibacter spp.	0.3333333333333333	greening	greening disease (huanglongbing/HLB)
False Negative	0.0		Located in			Greening			southwest of Minas Gerais, MG	
False Negative	0.0		Located in			Greening			SP, São Paulo	
False Negative	0.0		Located in			greening disease, HLB, huanglongbing			southwest of Minas Gerais, MG	
False Negative	0.0		Located in			greening disease, HLB, huanglongbing			regions of Triângulo Mineiro, Triângulo	
False Negative	0.0		Located in			citrus			SP, São Paulo	
False Negative	0.0		Located in			citrus			southwest of Minas Gerais, MG	
False Negative	0.0		Located in			citrus			regions of Triângulo Mineiro, Triângulo	
False Negative	0.0		Located in			greening			regions of Limeira	
False Negative	0.0		Located in			greening			regions of Brotas	
False Negative	0.0		Located in			greening			regions of Porto Ferreira	
False Positive	0.0			Located in			greening disease (huanglongbing/HLB)			Triângulo/southwest of Minas Gerais
False Positive	0.0			Transmits			psyllid			bacterium Candidatus Liberibacter spp.
False Positive	0.0			Have been found on			psyllid			orange groves
False Positive	0.0			Affects			cancer			orange groves
False Positive	0.0			Affects			CVC			orange groves
