PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	African Psila	African Psila	1.0	Cantabrian Coast, Cantabria	Cantabria
Partial Match	0.9	False	Has been found on	Affects	1.0	African Psila	African Psila	1.0	mandarin trees	mandarin trees
Partial Match	0.9	False	Has been found on	Affects	1.0	African Psila	African Psila	1.0	lemon	lemon
Partial Match	0.9	False	Has been found on	Affects	1.0	African Psila	African Psila	1.0	orange	orange
Partial Match	0.3333333333333333	True	Located in	Located in	1.0	African Psila	African Psila	0.3333333333333333	municipality of Miengo, town of Mogro, MOGRO, Miengo	Mogro
Match	1.0	True	Located in	Located in	1.0	African Psila	African Psila	1.0	Canary Islands	Canary Islands
Match	1.0	True	Located in	Located in	1.0	African Psila	African Psila	1.0	northern Portugal	northern Portugal
Match	1.0	True	Located in	Located in	1.0	African Psila	African Psila	1.0	Galicia	Galicia
Partial Match	0.9	False	Transmits	Causes	1.0	African Psila	African Psila	1.0	HLB, Greening, greening of trees. citrus, Huanglongbing	Huanglongbing
False Negative	0.0		Located in			varieties of citrus fruits, citrus trees			Cantabrian Coast, Cantabria	
False Negative	0.0		Has been found on			African Psila			varieties of citrus fruits, citrus trees	
False Negative	0.0		Located in			lemon			Cantabrian Coast, Cantabria	
False Negative	0.0		Located in			orange			Cantabrian Coast, Cantabria	
False Negative	0.0		Located in			mandarin trees			Cantabrian Coast, Cantabria	
False Positive	0.0			Have been found on			Tamarixia dryi			citrus trees
False Positive	0.0			Affects			Huanglongbing			citrus trees
False Positive	0.0			Located in			African Psila			European Union
