PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Salurn	Salurn
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Unterland	Unterland
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Burggrafenamt, South Tyrol	Burggrafenamt
Match	1.0	True	Affects	Affects	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	vines
Partial Match	0.75	True	Causes	Causes	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)	1.0	golden-yellow yellowing	golden-yellow yellowing
Partial Match	0.75	True	Transmits	Transmit	1.0	American leafhopper	American leafhopper	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)
False Negative	0.0		Located in			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties			Unterland	
False Negative	0.0		Located in			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties			Burggrafenamt, South Tyrol	
False Negative	0.0		Located in			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties			Salurn	
False Negative	0.0		Affects			Golden yellowing			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	
False Negative	0.0		Has been found on			FDp, Flavescence dorèe phytoplasma			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	
False Negative	0.0		Located in			American leafhopper			Europe	
False Negative	0.0		Has been found on			American leafhopper			white wine varieties, vineyards, vine, vines, Chardonnay, vineyard, Pinot Grigio, wine, red wine varieties	
False Positive	0.0			Located in			golden-yellow yellowing			South Tyrol
False Positive	0.0			Causes			Flavescence dorée			golden-yellow yellowing
False Positive	0.0			Have been found on			golden-yellow yellowing			Chardonnay
False Positive	0.0			Have been found on			golden-yellow yellowing			Pinot Grigio
