PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Located in	Located in	0.5	variety of Cavendish banana, variety Cavendish, Cavendish banana, Cavendish varieties, Cavendish banana plants	Cavendish banana	1.0	Philippines	Philippines
Partial Match	0.5	True	Located in	Located in	0.5	variety of Cavendish banana, variety Cavendish, Cavendish banana, Cavendish varieties, Cavendish banana plants	Cavendish banana	1.0	Israel	Israel
Partial Match	0.25	True	Located in	Located in	0.5	variety of Cavendish banana, variety Cavendish, Cavendish banana, Cavendish varieties, Cavendish banana plants	Cavendish banana	0.5	Netherlands	the Netherlands
Match	1.0	True	Causes	Causes	1.0	Fusarium Race 4 Tropical, Foc T4R, R4T strain, Fusarium (T4R ), TR4	Fusarium Race 4 Tropical	1.0	Panama disease	Panama disease
Partial Match	0.5	True	Affects	Affects	1.0	Panama disease	Panama disease	0.5	variety of Cavendish banana, variety Cavendish, Cavendish banana, Cavendish varieties, Cavendish banana plants	Cavendish banana
False Negative	0.0		Has been found on			Fusarium Race 4 Tropical, Foc T4R, R4T strain, Fusarium (T4R ), TR4			variety of Cavendish banana, variety Cavendish, Cavendish banana, Cavendish varieties, Cavendish banana plants	
False Negative	0.0		Affects			Panama disease			banana plants, banana, banana variety	
False Negative	0.0		Has been found on			Fusarium Race 4 Tropical, Foc T4R, R4T strain, Fusarium (T4R ), TR4			banana plants, banana, banana variety	
False Negative	0.0		Located in			banana plants, banana, banana variety			Israel	
False Negative	0.0		Located in			Fusarium Race 4 Tropical, Foc T4R, R4T strain, Fusarium (T4R ), TR4			Colombia	
False Positive	0.0			Located in			Rahan Meristem			Israel
False Positive	0.0			Have been found on			Rahan Meristem			Cavendish banana
False Positive	0.0			Located in			Luis Alberto Restrepo			Colombia
False Positive	0.0			Have been found on			Luis Alberto Restrepo			Cavendish banana
False Positive	0.0			Have been found on			Cavendish banana			Banarica Colombia
False Positive	0.0			Located in			Cavendish banana			Wageningen University
