	gpt-4o-mini	kimi	deepseek
106151	0.5454545454545454	0.15384615384615383	0.5454545454545454
106959	nan	1.0	1.0
116223	0.28571428571428575	0.4347826086956522	0.7142857142857143
98917	0.7000000000000001	0.7999999999999999	0.761904761904762
107272	0.04	0.25925925925925924	0.07142857142857144
115106	0.03508771929824562	0.19999999999999998	0.09999999999999999
114379	0.358974358974359	0.3684210526315789	0.4210526315789474
99613	0.4	0.2857142857142857	0.6666666666666666
117674	0.43333333333333335	0.0655737704918033	0.1724137931034483
106963	0.28571428571428575	0.30769230769230765	0.16
99614	nan	nan	nan
117298	0.4210526315789474	0.28571428571428575	0.380952380952381
99984	0.8	0.8	0.8
117892	nan	nan	nan
102904	0.36363636363636365	0.4	0.28571428571428575
117299	0.38095238095238093	0.25	0.38095238095238093
105611	0.07843137254901962	0.5	0.1509433962264151
107172	nan	0.10526315789473685	0.08695652173913043
102584	0.25	nan	0.375
115211	0.4000000000000001	0.4615384615384615	0.6
98579	0.5	nan	0.33333333333333337
107207	0.2222222222222222	0.2222222222222222	0.3157894736842105
98195	0.2	0.3333333333333333	nan
98142	0.16666666666666666	0.3333333333333333	0.125
116119	0.3333333333333333	0.25	0.2
106336	0.23255813953488372	0.19047619047619047	0.2
116125	nan	0.28571428571428575	0.09090909090909091
98783	nan	nan	nan
98191	nan	nan	nan
104119	nan	nan	nan
98392	nan	nan	nan
104656	0.41666666666666663	0.3636363636363636	0.5217391304347826
99067	nan	0.12903225806451615	0.14814814814814814
99107	0.30303030303030304	nan	0.25806451612903225
98794	0.14814814814814814	0.14814814814814814	0.25
103847	0.5	0.6666666666666666	0.6666666666666666
103660	0.7142857142857143	0.8571428571428571	0.9333333333333333
114259	0.08	0.18518518518518517	0.2181818181818182
116664	0.13333333333333333	0.1818181818181818	0.1111111111111111
104499	0.6666666666666666	0.5714285714285715	0.5714285714285715
116507	nan	nan	nan
104329	nan	0.7499999999999999	nan
116671	0.16666666666666666	nan	0.1904761904761905
100011	0.30769230769230765	nan	0.5333333333333333
116070	0.07692307692307691	0.16666666666666666	0.07692307692307691
115183	0.5217391304347827	nan	0.48
99132	0.4	0.4	0.4
103669	nan	nan	nan
116983	0.47058823529411764	0.6666666666666667	0.75
105652	0.5714285714285715	0.8571428571428571	0.8571428571428571
105862	nan	nan	nan
103963	0.33333333333333337	0.4	0.4444444444444444
116761	0.4444444444444445	0.3333333333333333	0.3636363636363636
102488	0.4	0.4	0.3636363636363636
115243	0.4507042253521127	0.029850746268656712	0.02941176470588235
